epoch,train_loss,val_loss,vx_mse,wz_mse
0,0.03725978355147514,0.08337029324997342,0.0013722238363698125,0.030416438356041908
1,0.01678597361728727,0.07906347097755384,0.001110403798520565,0.029059838503599167
2,0.014867306415363579,0.07785260679828722,0.0015273385215550661,0.019520964473485947
3,0.014159922686259544,0.0791275546215135,0.0014442342799156904,0.020890040323138237
4,0.013148582288639679,0.08010219660528163,0.0004579646047204733,0.005343805067241192
5,0.012344851784511895,0.0782094523095523,0.0007913043373264372,0.013330116868019104
6,0.012188549936148816,0.0793019660149834,0.00041667159530334175,0.011491597630083561
7,0.011593271617333424,0.07767200317831092,0.0005887682200409472,0.010133005678653717
8,0.011459693618686102,0.07825469083611296,0.0004364064952824265,0.006776940077543259
9,0.011039193505337015,0.07800260091251425,0.0006775595247745514,0.007294766139239073
10,0.010855554042583732,0.07699762289695397,0.0004890098352916539,0.004774224013090134
11,0.010580848628354254,0.0771531397272977,0.0010212005581706762,0.013957853429019451
12,0.01068256701887804,0.07548110326836989,0.0007251963252201676,0.008898211643099785
13,0.01018357692823734,0.07592636584714735,0.0005180666339583695,0.013232058845460415
14,0.010137361850011137,0.07261520297263713,0.0005168257048353553,0.0027459978591650724
15,0.00996171017848173,0.07538725220029296,0.0006683121901005507,0.014585507102310658
16,0.00961805069432067,0.07536673759560364,0.000584812427405268,0.004213623236864805
17,0.009696700543792203,0.07644220338256798,0.0004229969053994864,0.011495588347315788
18,0.009978187965244516,0.07284368414737533,0.0005608474602922797,0.008613628335297108
19,0.009322559085068094,0.07087131685953825,0.0006055895937606692,0.014890269376337528
