epoch,train_loss,val_loss,ce,kl,sparsity
0,1.0828471343839356,1.1051200998590347,0.9792315363883972,1.3678721189498901,-1.0300230979919434
1,1.0009957993819931,1.0876882584261678,1.0118781328201294,1.3699620962142944,-1.027933120727539
2,0.9846293331003904,1.0809083470457592,0.9840899705886841,1.4059315919876099,-0.9919634461402893
3,0.9776306365276798,1.0785496505922822,1.0014772415161133,1.3837482929229736,-1.0141468048095703
4,0.9716528794889369,1.0783911641970232,0.9466239213943481,1.4340204000473022,-0.963874876499176
5,0.968585300329106,1.0821723299548256,0.9645615220069885,1.434211015701294,-0.9636843204498291
6,0.9653476347256265,1.076757506758971,0.9294690489768982,1.4460276365280151,-0.9518675804138184
7,0.962106697928181,1.0806078045563858,0.9738410711288452,1.4505419731140137,-0.9473531246185303
8,0.9603028221435433,1.08165684268105,0.9582602977752686,1.4574172496795654,-0.9404779672622681
9,0.958686908791527,1.0772036893751846,0.9481685161590576,1.4415510892868042,-0.9563441872596741
10,0.9574337230899697,1.0772109893317643,0.9491364359855652,1.393604040145874,-1.00429105758667
11,0.9560893109452019,1.0738292825982925,0.9272518157958984,1.4735957384109497,-0.924299418926239
12,0.9551001631132128,1.0764751029231991,0.8705415725708008,1.4857795238494873,-0.9121156334877014
13,0.953739746284691,1.0829518494272667,0.956014096736908,1.4334794282913208,-0.9644157290458679
14,0.9527672954628509,1.080312826278362,0.9363723397254944,1.4732743501663208,-0.9246208071708679
15,0.9522474740740678,1.0796252073125636,0.9379184246063232,1.4332983493804932,-0.9645968675613403
16,0.9511399871326159,1.0763500408561033,0.9174146056175232,1.4497753381729126,-0.9481199383735657
