epoch,train_loss,val_loss,ce,kl,sparsity
0,1.3089406291748775,1.2434020862028592,1.0059601068496704,1.2514400482177734,-1.14645516872406
1,1.1856309339419617,1.2279210812415033,1.129489779472351,1.2099907398223877,-1.1879044771194458
2,1.170465879083701,1.2189577120778046,1.113399863243103,1.2634202241897583,-1.1344751119613647
3,1.1601477899699533,1.2117274936571671,0.9814870953559875,1.261904001235962,-1.1359912157058716
4,1.151301130735709,1.2030111867968434,1.0257703065872192,1.2840408086776733,-1.1138544082641602
5,1.1452914421605533,1.2037396533873306,0.9988591074943542,1.262570858001709,-1.1353243589401245
6,1.1417001117744785,1.2050713213743771,1.0112842321395874,1.2825192213058472,-1.1153761148452759
7,1.13868240552808,1.1998585574170377,1.0394617319107056,1.291054606437683,-1.10684072971344
8,1.134825302174498,1.2006064894713893,0.9417493939399719,1.3123183250427246,-1.0855768918991089
9,1.132279952122791,1.200369967660643,1.050374150276184,1.271553635597229,-1.126341700553894
10,1.130807488872755,1.198184010902799,1.015965461730957,1.3342843055725098,-1.0636107921600342
11,1.128774372005455,1.1945657793874074,1.0182934999465942,1.277045726776123,-1.120849370956421
12,1.126490680936034,1.197389863399749,0.9573566317558289,1.3264944553375244,-1.071400761604309
13,1.1244141848057339,1.200442422414623,1.0425950288772583,1.3502531051635742,-1.0476421117782593
14,1.1229526680152881,1.1964748540547843,0.9740350842475891,1.3420673608779907,-1.0558278560638428
15,1.1225329876671475,1.1964680238335328,0.9501658082008362,1.3099874258041382,-1.0879076719284058
16,1.122581490365773,1.194902488018604,1.0383644104003906,1.322934627532959,-1.0749605894088745
