epoch,train_loss,val_loss,ce,kl,sparsity
0,1.3836169849853612,1.097668148826321,0.9799667596817017,1.177956223487854,-1.2199392318725586
1,1.1096177065226427,0.9629440845146006,0.8993774056434631,1.4261277914047241,-0.9717676043510437
2,1.0193110295622618,0.9068833140073214,0.6702958345413208,1.5506141185760498,-0.8472813963890076
3,0.9631448706439731,0.9153561425064111,0.8676789999008179,1.5033091306686401,-0.8945863842964172
4,0.9300582004047794,0.8911071396073309,0.7730872631072998,1.6820709705352783,-0.715824544429779
5,0.9024220625922205,0.846925168604474,0.7113800048828125,1.6821163892745972,-0.7157791256904602
6,0.8794996378944666,0.864202309424754,0.864563524723053,1.5135911703109741,-0.8843041658401489
7,0.857625842871396,0.8329623490209638,0.488199383020401,1.7988039255142212,-0.5990914702415466
8,0.8398683950358676,0.824025848027783,0.668250560760498,1.4348325729370117,-0.9630628228187561
9,0.8198624998548222,0.8079317048418486,0.6438149809837341,1.6316254138946533,-0.766270101070404
10,0.8058483370750325,0.7891069197364854,0.30339470505714417,1.8876858949661255,-0.5102095007896423
11,0.7947785165982075,0.7572734318968011,0.6058630347251892,1.815535545349121,-0.5823598504066467
12,0.7826781248099447,0.7710308823270275,0.6867243051528931,1.7787601947784424,-0.619135320186615
13,0.7763941249928354,0.7727517729291076,0.58343505859375,1.740336298942566,-0.6575591564178467
14,0.7662566941335591,0.8212133493376358,0.581902265548706,1.6797981262207031,-0.7180973887443542
15,0.758549219562223,0.7835709980646528,0.6382632851600647,1.765068769454956,-0.6328266263008118
16,0.7479276095315562,0.7620153205735343,0.4412294626235962,1.772344708442688,-0.6255508661270142
