epoch,train_loss,val_loss,vx_mse,wz_mse
0,0.10070870652704159,0.11660286477769762,0.01242112461477518,0.040345486253499985
1,0.07379657977162737,0.11744865949950704,0.008031480945646763,0.06523671746253967
2,0.06991657015344561,0.10696676771176306,0.005651387851685286,0.06601826846599579
3,0.06630740025292449,0.10302379128698679,0.004578145686537027,0.021214663982391357
4,0.05842378111973027,0.09151711176010839,0.006540829781442881,0.021505020558834076
5,0.05297169198919425,0.09008652672545255,0.0072564962320029736,0.0704614520072937
6,0.05125829813336293,0.08511414406049747,0.004483756143599749,0.02068275958299637
7,0.050032497799151206,0.08530803266959583,0.006936449557542801,0.02867833897471428
8,0.048505050491337895,0.08461476114584207,0.008408970199525356,0.05850236862897873
9,0.04787319254749665,0.08151542802014329,0.005798880942165852,0.0887303352355957
10,0.04789749195633534,0.07988420948754192,0.005348362028598785,0.024054771289229393
11,0.04732775922934176,0.08367341211565281,0.005095885135233402,0.0626467913389206
12,0.0469027076998411,0.0806642396154737,0.007096511777490377,0.07822463661432266
13,0.04607644502712753,0.07632512193142031,0.003737091086804867,0.03668554872274399
14,0.045787615475604775,0.07633210109945919,0.007417412009090185,0.032562948763370514
15,0.04535492583053375,0.07572448013900952,0.008770585060119629,0.03624855726957321
16,0.0445789013451386,0.07602001086063541,0.005907260347157717,0.05868842080235481
17,0.0442920180784376,0.07674083363942061,0.00637894356623292,0.06954984366893768
18,0.04407031469298226,0.07573859789058188,0.005911092273890972,0.01420801505446434
19,0.0438098281956013,0.07570506750020739,0.004706379026174545,0.028742538765072823
20,0.0432258952427821,0.07806685610759599,0.006605854257941246,0.04358910396695137
21,0.04313918924823717,0.07789513825666876,0.008671713061630726,0.036290477961301804
22,0.04338212585106071,0.07568324054407358,0.007647136226296425,0.04941576346755028
23,0.04288047483968376,0.07242679679561066,0.009019591845571995,0.07344353199005127
24,0.04313718813924667,0.07580861465327475,0.006582007277756929,0.02325856126844883
25,0.042001053839218,0.07215092219391096,0.004528649616986513,0.05172058939933777
26,0.04200647343449734,0.07736440408064794,0.004218896850943565,0.056059446185827255
27,0.04198778678023774,0.073334414845525,0.00870965514332056,0.05152782052755356
28,0.04260029563406912,0.07226519433499844,0.0077657378278672695,0.018455926328897476
29,0.04210923275406886,0.07205548419862685,0.008798121474683285,0.021689292043447495
30,0.04243142718438944,0.07473439235879975,0.0037625085096806288,0.009759594686329365
31,0.04212028112266067,0.07555086227993008,0.004909606650471687,0.007354401983320713
32,0.04132599843083853,0.07384721922959232,0.006466989405453205,0.05134638771414757
33,0.041119614474708646,0.0724920023605652,0.0043147653341293335,0.0196706410497427
34,0.04098945947369789,0.07301283943548935,0.004933040589094162,0.031028306111693382
