epoch,train_loss,val_loss,ce,kl,sparsity
0,1.220181590270477,0.9629607577635525,0.6479456424713135,1.5464144945144653,-0.8514806628227234
1,0.7443503515143268,0.84691132287124,0.46466925740242004,1.7562252283096313,-0.6416699290275574
2,0.6611285463919278,0.7961278622817124,0.5598795413970947,1.7752506732940674,-0.6226444244384766
3,0.6162007512547245,0.7603572945736099,0.3921401798725128,1.880041480064392,-0.5178536772727966
4,0.5870244772929246,0.7613095579901002,0.3749919533729553,1.9199740886688232,-0.4779212176799774
5,0.5664695936519214,0.7811655812078696,0.37082797288894653,1.95698881149292,-0.4409063458442688
6,0.5503707645395489,0.735564843028512,0.3798503577709198,1.9572761058807373,-0.44061917066574097
7,0.5358076680216284,0.705741880068663,0.29963162541389465,1.9329967498779297,-0.4648984968662262
8,0.5230801845982818,0.7474800238493365,0.24666865170001984,2.0482430458068848,-0.34965232014656067
9,0.5120227074955279,0.7004026978030393,0.286976158618927,2.009925127029419,-0.3879701495170593
10,0.5026305958009414,0.7179727444623379,0.28022629022598267,2.020509958267212,-0.3773854374885559
11,0.49515635754684306,0.7254259079966502,0.31777819991111755,2.0467145442962646,-0.35118070244789124
12,0.4898872808179154,0.7649851378336503,0.31102943420410156,2.090494394302368,-0.3074008524417877
13,0.48072745251936205,0.7288836125907202,0.2170032411813736,2.0427560806274414,-0.35513901710510254
14,0.4748516265820422,0.7561675030590915,0.22179272770881653,2.079113721847534,-0.31878137588500977
