epoch,train_loss,val_loss,vx_mse,wz_mse
0,0.05426552299317935,0.08568085507803956,0.002572288503870368,0.032519012689590454
1,0.03268640477236234,0.07718779262393079,0.0026119130197912455,0.029693137854337692
2,0.028384002729139542,0.07090805529483728,0.0021382994018495083,0.031586650758981705
3,0.025473512653421005,0.07090354033810933,0.0023847143165767193,0.023182742297649384
4,0.024125069413065376,0.07405266677989061,0.002065409207716584,0.015225105918943882
5,0.022893537297476205,0.07458217626828191,0.00218938454054296,0.015797248110175133
6,0.021697205524816746,0.06527724138894161,0.001907302881591022,0.015520526096224785
7,0.0210470303531567,0.07514807490411138,0.0024592559784650803,0.0290087778121233
8,0.020824086071474603,0.078605089308326,0.001812219270505011,0.024347255006432533
9,0.01994963461178676,0.07523770279797377,0.0014329085825011134,0.01540367305278778
10,0.01984079576076027,0.08172521910214044,0.0024064844474196434,0.025450117886066437
11,0.019610283824738447,0.08104343976044184,0.001287346240133047,0.010901146568357944
