epoch,train_loss,val_loss,ce,kl,sparsity
0,1.3509900664393595,1.2721950494047356,1.2563718557357788,1.0945719480514526,-1.3033233880996704
1,1.2258765432467902,1.2382866684788991,1.1266413927078247,1.1879737377166748,-1.2099215984344482
2,1.2002586662955448,1.2377259085605934,1.130690336227417,1.2175943851470947,-1.1803010702133179
3,1.1881988771407137,1.2257307234506114,1.0876737833023071,1.268595576286316,-1.1292998790740967
4,1.1805663627871463,1.2189400567109825,1.0384471416473389,1.149680495262146,-1.2482149600982666
5,1.1736168905793165,1.2204986513566827,0.9448032379150391,1.2808746099472046,-1.1170207262039185
6,1.1686019520561426,1.2219935350505051,1.014556646347046,1.2397688627243042,-1.1581264734268188
7,1.165039084671458,1.2195845379293146,0.9621852040290833,1.2971560955047607,-1.1007393598556519
8,1.1631353827490323,1.2185644690388966,0.9966100454330444,1.2747714519500732,-1.1231238842010498
9,1.1607155503374493,1.220650232091863,0.9200607538223267,1.2952253818511963,-1.1026699542999268
10,1.15848258277587,1.2148585070954991,1.134580135345459,1.2675068378448486,-1.130388617515564
11,1.1570534607457126,1.2186665226260942,1.1217657327651978,1.304534912109375,-1.0933605432510376
12,1.156324147536667,1.2164494093428266,1.1855276823043823,1.2316023111343384,-1.1662930250167847
13,1.15429470238421,1.2192326753697498,1.0679972171783447,1.2289161682128906,-1.168979287147522
14,1.1542969469684683,1.2200221824066255,0.9230906367301941,1.2817155122756958,-1.1161799430847168
15,1.154349434279357,1.215765165630445,1.0707457065582275,1.2704538106918335,-1.127441644668579
