run_id,notes,start_x,start_y,start_yaw,g1_x,g1_y,g1_yaw,g2_x,g2_y,g2_yaw,g3_x,g3_y,g3_yaw,g4_x,g4_y,g4_yaw,g5_x,g5_y,g5_yaw,g6_x,g6_y,g6_yaw
0,,-7.407,-0.266,1.613,-14.344,6.04,-0.045,-14.544,9.89,-0.045,-12.798,-4.041,0.11,-7.677,-10.721,1.526,-8.093,15.877,-1.516,,,
1,,12.056,-11.891,3.061,15.653,-5.929,2.31,15.328,1.696,1.947,9.757,10.253,1.834,7.846,16.222,3.129,-11.703,15.805,-1.41,0.588,13.82,2.976
3,,7.463,15.926,-0.008,15.425,15.381,-2.991,-14.403,5.398,-0.015,-14.261,-4.855,-0.015,-7.803,-8.576,1.528,2.141,14.292,-0.045,,,
